time	ROI central	ROI central_smaller	
281.25	0.1141	0.0727	Non-native Unexpected
282.2266	0.1128	0.0716	Non-native Unexpected
283.2031	0.1119	0.0707	Non-native Unexpected
284.1797	0.1112	0.0702	Non-native Unexpected
285.1562	0.1108	0.0699	Non-native Unexpected
286.1328	0.1107	0.0699	Non-native Unexpected
287.1094	0.1108	0.0701	Non-native Unexpected
288.0859	0.1111	0.0706	Non-native Unexpected
289.0625	0.1117	0.0712	Non-native Unexpected
290.0391	0.1125	0.0721	Non-native Unexpected
291.0156	0.1136	0.0732	Non-native Unexpected
291.9922	0.1148	0.0745	Non-native Unexpected
292.9688	0.1162	0.076	Non-native Unexpected
293.9453	0.1178	0.0776	Non-native Unexpected
294.9219	0.1196	0.0793	Non-native Unexpected
295.8984	0.1215	0.0812	Non-native Unexpected
296.875	0.1236	0.0831	Non-native Unexpected
297.8516	0.1258	0.0852	Non-native Unexpected
298.8281	0.128	0.0873	Non-native Unexpected
299.8047	0.1304	0.0894	Non-native Unexpected
300.7812	0.1329	0.0916	Non-native Unexpected
301.7578	0.1354	0.0938	Non-native Unexpected
302.7344	0.1379	0.0961	Non-native Unexpected
303.7109	0.1405	0.0982	Non-native Unexpected
304.6875	0.143	0.1004	Non-native Unexpected
305.6641	0.1456	0.1025	Non-native Unexpected
306.6406	0.1481	0.1045	Non-native Unexpected
307.6172	0.1506	0.1064	Non-native Unexpected
308.5938	0.153	0.1083	Non-native Unexpected
309.5703	0.1554	0.11	Non-native Unexpected
310.5469	0.1576	0.1116	Non-native Unexpected
311.5234	0.1597	0.113	Non-native Unexpected
312.5	0.1618	0.1142	Non-native Unexpected
313.4766	0.1636	0.1153	Non-native Unexpected
314.4531	0.1653	0.1162	Non-native Unexpected
315.4297	0.1669	0.1169	Non-native Unexpected
316.4062	0.1682	0.1174	Non-native Unexpected
317.3828	0.1694	0.1177	Non-native Unexpected
318.3594	0.1704	0.1178	Non-native Unexpected
319.3359	0.1711	0.1176	Non-native Unexpected
320.3125	0.1716	0.1172	Non-native Unexpected
321.2891	0.1719	0.1166	Non-native Unexpected
322.2656	0.172	0.1157	Non-native Unexpected
323.2422	0.1718	0.1145	Non-native Unexpected
324.2188	0.1714	0.1131	Non-native Unexpected
325.1953	0.1707	0.1115	Non-native Unexpected
326.1719	0.1698	0.1096	Non-native Unexpected
327.1484	0.1686	0.1075	Non-native Unexpected
328.125	0.1672	0.1052	Non-native Unexpected
329.1016	0.1655	0.1026	Non-native Unexpected
330.0781	0.1635	0.0998	Non-native Unexpected
331.0547	0.1613	0.0967	Non-native Unexpected
332.0312	0.1589	0.0935	Non-native Unexpected
333.0078	0.1562	0.09	Non-native Unexpected
333.9844	0.1533	0.0864	Non-native Unexpected
334.9609	0.1502	0.0826	Non-native Unexpected
335.9375	0.1469	0.0786	Non-native Unexpected
336.9141	0.1434	0.0745	Non-native Unexpected
337.8906	0.1397	0.0703	Non-native Unexpected
338.8672	0.1358	0.0659	Non-native Unexpected
339.8438	0.1317	0.0614	Non-native Unexpected
340.8203	0.1275	0.0568	Non-native Unexpected
341.7969	0.1231	0.0522	Non-native Unexpected
342.7734	0.1187	0.0475	Non-native Unexpected
343.75	0.1141	0.0428	Non-native Unexpected
344.7266	0.1095	0.0381	Non-native Unexpected
345.7031	0.1047	0.0333	Non-native Unexpected
346.6797	0.1	0.0286	Non-native Unexpected
347.6562	0.0952	0.024	Non-native Unexpected
348.6328	0.0903	0.0194	Non-native Unexpected
349.6094	0.0855	0.0148	Non-native Unexpected
350.5859	0.0807	0.0104	Non-native Unexpected
351.5625	0.076	0.0061	Non-native Unexpected
352.5391	0.0713	0.0019	Non-native Unexpected
353.5156	0.0667	-0.0021	Non-native Unexpected
354.4922	0.0621	-0.0059	Non-native Unexpected
355.4688	0.0577	-0.0096	Non-native Unexpected
356.4453	0.0534	-0.0131	Non-native Unexpected
357.4219	0.0493	-0.0163	Non-native Unexpected
358.3984	0.0453	-0.0194	Non-native Unexpected
359.375	0.0415	-0.0222	Non-native Unexpected
360.3516	0.0378	-0.0247	Non-native Unexpected
361.3281	0.0344	-0.027	Non-native Unexpected
362.3047	0.0312	-0.0291	Non-native Unexpected
363.2812	0.0282	-0.0309	Non-native Unexpected
364.2578	0.0254	-0.0324	Non-native Unexpected
365.2344	0.0228	-0.0336	Non-native Unexpected
366.2109	0.0205	-0.0346	Non-native Unexpected
367.1875	0.0184	-0.0353	Non-native Unexpected
368.1641	0.0166	-0.0357	Non-native Unexpected
369.1406	0.015	-0.0359	Non-native Unexpected
370.1172	0.0137	-0.0358	Non-native Unexpected
371.0938	0.0126	-0.0354	Non-native Unexpected
372.0703	0.0118	-0.0348	Non-native Unexpected
373.0469	0.0111	-0.034	Non-native Unexpected
374.0234	0.0107	-0.033	Non-native Unexpected
375	0.0106	-0.0317	Non-native Unexpected
375.9766	0.0106	-0.0303	Non-native Unexpected
376.9531	0.0108	-0.0288	Non-native Unexpected
377.9297	0.0112	-0.027	Non-native Unexpected
378.9062	0.0118	-0.0252	Non-native Unexpected
379.8828	0.0126	-0.0232	Non-native Unexpected
380.8594	0.0134	-0.0212	Non-native Unexpected
381.8359	0.0144	-0.0191	Non-native Unexpected
382.8125	0.0154	-0.0171	Non-native Unexpected
383.7891	0.0166	-0.015	Non-native Unexpected
384.7656	0.0178	-0.0129	Non-native Unexpected
385.7422	0.019	-0.0109	Non-native Unexpected
386.7188	0.0202	-0.009	Non-native Unexpected
387.6953	0.0213	-0.0073	Non-native Unexpected
388.6719	0.0225	-0.0057	Non-native Unexpected
389.6484	0.0235	-0.0042	Non-native Unexpected
390.625	0.0244	-0.003	Non-native Unexpected
391.6016	0.0252	-0.0021	Non-native Unexpected
392.5781	0.0259	-0.0014	Non-native Unexpected
393.5547	0.0263	-0.0011	Non-native Unexpected
394.5312	0.0265	-0.001	Non-native Unexpected
395.5078	0.0265	-0.0014	Non-native Unexpected
396.4844	0.0262	-0.0022	Non-native Unexpected
397.4609	0.0256	-0.0034	Non-native Unexpected
398.4375	0.0247	-0.005	Non-native Unexpected
399.4141	0.0235	-0.0072	Non-native Unexpected
400.3906	0.0218	-0.0098	Non-native Unexpected
401.3672	0.0198	-0.013	Non-native Unexpected
402.3438	0.0173	-0.0167	Non-native Unexpected
403.3203	0.0145	-0.021	Non-native Unexpected
404.2969	0.0111	-0.0259	Non-native Unexpected
405.2734	0.0073	-0.0314	Non-native Unexpected
406.25	0.003	-0.0375	Non-native Unexpected
407.2266	-0.0019	-0.0443	Non-native Unexpected
408.2031	-0.0072	-0.0517	Non-native Unexpected
409.1797	-0.0131	-0.0597	Non-native Unexpected
410.1562	-0.0195	-0.0684	Non-native Unexpected
411.1328	-0.0265	-0.0777	Non-native Unexpected
412.1094	-0.034	-0.0877	Non-native Unexpected
413.0859	-0.0421	-0.0984	Non-native Unexpected
414.0625	-0.0507	-0.1097	Non-native Unexpected
415.0391	-0.0599	-0.1216	Non-native Unexpected
416.0156	-0.0697	-0.1342	Non-native Unexpected
416.9922	-0.08	-0.1474	Non-native Unexpected
417.9688	-0.0909	-0.1612	Non-native Unexpected
418.9453	-0.1022	-0.1756	Non-native Unexpected
419.9219	-0.1142	-0.1906	Non-native Unexpected
420.8984	-0.1266	-0.2061	Non-native Unexpected
421.875	-0.1395	-0.2222	Non-native Unexpected
422.8516	-0.1529	-0.2387	Non-native Unexpected
423.8281	-0.1668	-0.2557	Non-native Unexpected
424.8047	-0.1811	-0.2732	Non-native Unexpected
425.7812	-0.1959	-0.2911	Non-native Unexpected
426.7578	-0.211	-0.3094	Non-native Unexpected
427.7344	-0.2265	-0.328	Non-native Unexpected
428.7109	-0.2424	-0.3469	Non-native Unexpected
429.6875	-0.2586	-0.3661	Non-native Unexpected
430.6641	-0.2751	-0.3856	Non-native Unexpected
431.6406	-0.2918	-0.4053	Non-native Unexpected
432.6172	-0.3088	-0.4251	Non-native Unexpected
433.5938	-0.326	-0.445	Non-native Unexpected
