       value	     chindex	     chlabel	        bini	     ERPset
      -0.606	          56	         CP2	           1	16_withDiff
      -0.989	           4	          F1	           2	16_withDiff
      -0.656	          11	         FC1	           2	16_withDiff
       1.556	          12	          C1	           2	16_withDiff
       1.281	          19	         CP1	           2	16_withDiff
       0.124	          32	         CPz	           2	16_withDiff
      -1.032	          38	          Fz	           2	16_withDiff
      -1.105	          39	          F2	           2	16_withDiff
      -0.434	          46	         FC2	           2	16_withDiff
      -1.051	          47	         FCz	           2	16_withDiff
       0.263	          48	          Cz	           2	16_withDiff
      -0.137	          49	          C2	           2	16_withDiff
       0.176	          56	         CP2	           2	16_withDiff
      -2.542	           4	          F1	           3	16_withDiff
      -3.120	          11	         FC1	           3	16_withDiff
      -2.851	          12	          C1	           3	16_withDiff
       0.252	          19	         CP1	           3	16_withDiff
      -0.556	          32	         CPz	           3	16_withDiff
      -1.199	          38	          Fz	           3	16_withDiff
       0.499	          39	          F2	           3	16_withDiff
      -0.214	          46	         FC2	           3	16_withDiff
      -1.007	          47	         FCz	           3	16_withDiff
      -1.376	          48	          Cz	           3	16_withDiff
       0.803	          49	          C2	           3	16_withDiff
       0.466	          56	         CP2	           3	16_withDiff
      -5.146	           4	          F1	           4	16_withDiff
      -4.938	          11	         FC1	           4	16_withDiff
      -3.848	          12	          C1	           4	16_withDiff
      -2.419	          19	         CP1	           4	16_withDiff
      -2.149	          32	         CPz	           4	16_withDiff
      -4.469	          38	          Fz	           4	16_withDiff
      -3.981	          39	          F2	           4	16_withDiff
      -3.896	          46	         FC2	           4	16_withDiff
      -4.573	          47	         FCz	           4	16_withDiff
      -1.813	          48	          Cz	           4	16_withDiff
      -2.585	          49	          C2	           4	16_withDiff
      -1.356	          56	         CP2	           4	16_withDiff
      -1.660	           4	          F1	           5	16_withDiff
      -1.724	          11	         FC1	           5	16_withDiff
